Provinsi;Tahun;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11
SULAWESI UTARA;2020;7,37;189;63,42;60,46;29,75;8,58;7,78;72,93;50521;3310723;9,74;34,61
SULAWESI TENGAH;2020;3,77;48;69,44;67,37;43,11;6,75;13,06;69,55;66306;2303711;9,09;39,32
SULAWESI SELATAN;2020;6,31;194;63,40;64,22;39,78;8,16;8,99;71,93;55675;3103800;8,86;42,69
SULAWESI TENGGARA;2020;4,58;69;69,83;64,59;36,71;8,94;11,69;71,45;49718;2552015;9,41;47,4
GORONTALO;2020;4,28;104;66,46;62,12;32,08;8,3;15,59;68,68;35693;2788826;8,26;37,74
SULAWESI BARAT;2020;3,32;85;70,19;72,63;50,19;7,64;11,5;66,11;32837;2678863;8,33;29,44
MALUKU;2020;7,57;39;65,07;66,56;33,97;11,02;17,99;69,49;25094;2604961;10,2;48,62
MALUKU UTARA;2020;5,15;40;64,28;66,13;42,67;5,7;6,97;68,49;33069;2721530;9,42;43,97
PAPUA BARAT;2020;6,8;11;69,55;57,98;32,4;5,08;21,7;65,09;73933;3134600;10;35,3
PAPUA;2020;4,28;13;72,16;79,92;66,91;2,16;26,8;60,44;46416;3516700;6,96;21,87
ACEH;2021;6,3;92;63,78;60,69;36,13;8,36;15,53;72,18;34681;3165031;9,77;44,65
SUMATERA UTARA;2021;6,33;205;69,10;59,33;35,62;9,7;8,49;72;57574;2499423;9,88;31,1
SUMATERA BARAT;2021;6,52;133;67,72;64,77;34,7;8,95;6,04;72,65;45357;2484041;9,46;44,25
RIAU;2021;4,42;75;65,03;54,57;38,59;8,18;7;72,94;129206;2888564;9,52;35,97
JAMBI;2021;5,09;72;67,17;62,01;45,89;4,76;7,67;71,63;64730;2630162;9,03;30,74
SUMATERA SELATAN;2021;4,98;93;68,77;64,16;44,97;6,33;12,79;70,24;57731;3043111;8,78;26,32
BENGKULU;2021;3,65;102;69,75;68,16;45,79;5,73;14,43;71,64;39156;2215000;9,26;38,66
LAMPUNG;2021;4,69;262;69,35;71,31;43,03;9,29;11,67;69,9;40873;2432001;8,56;22,64
KEP. BANGKA BELITUNG;2021;5,03;90;65,88;50,93;26,71;7,61;4,67;71,69;58351;3230023;8,54;15,23
KEP. RIAU;2021;9,91;258;68,27;35,2;9;25,01;5,75;75,79;130119;3005460;10,38;27,59
DKI JAKARTA;2021;8,5;15978;62,63;38,26;0,69;11,47;4,67;81,11;274519;4416186;11,2;40,05
JAWA BARAT;2021;9,82;1379;64,95;54,61;15,7;19,37;7,97;72,45;45194;1810351;9,03;25,83
JAWA TENGAH;2021;5,95;1120;69,58;60,38;23,74;22,17;11,25;72,16;38647;1789979;8,26;23,86
DI YOGYAKARTA;2021;4,56;1185;73,52;55,36;18,22;17,71;11,91;80,22;40240;1765000;10,04;74,9
JAWA TIMUR;2021;5,74;855;70,00;62,64;31,68;15,12;10,59;72,14;60049;1868777;8,37;29,96
BANTEN;2021;8,98;1248;63,79;48,87;11,1;20,8;6,5;72,72;55208;2460996;9,29;32,51
BALI;2021;5,37;755;73,54;57,1;21,9;16,14;4,72;75,69;50534;2494000;9,45;36,51
NUSA TENGGARA BARAT;2021;3,01;290;70,57;73,89;32,61;12,09;13,83;68,65;25996;2183883;8,13;32,26
NUSA TENGGARA TIMUR;2021;3,77;111;73,78;75,97;50,37;10,56;20,44;65,28;20580;1950000;8,2;33,27
